"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 03 00:48:30 GMT 2022","Tue May 03 00:49:01 GMT 2022","31378","firefox","specs/guardian-basics-terms.spec.js","guardian basics, C1538755","","","Verify locale handling in Austria for terms",""
"passed","Tue May 03 00:51:25 GMT 2022","Tue May 03 00:51:29 GMT 2022","3460","firefox","specs/guardian-localization-urls.spec.js","guardian localization by urls, C1538754, C1601703 > Belgium - https://www.mozilla.org/nl/products/vpn/?geo=be","","","Verify locale handling in Belgium",""
"passed","Tue May 03 00:52:41 GMT 2022","Tue May 03 00:52:45 GMT 2022","4535","firefox","specs/guardian-redirects.spec.js","guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/support",""
"passed","Tue May 03 00:44:40 GMT 2022","Tue May 03 00:44:42 GMT 2022","2053","chromium","specs/guardian-localization-urls.spec.js","guardian localization by urls, C1538754, C1601703 > Austria - https://www.mozilla.org/de/products/vpn/?geo=at","","","Verify locale handling in Austria",""
"passed","Tue May 03 00:53:14 GMT 2022","Tue May 03 00:53:17 GMT 2022","3630","firefox","specs/guardian-redirects.spec.js","guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/windows",""
"failed","Tue May 03 00:51:19 GMT 2022","Tue May 03 00:51:43 GMT 2022","24268","chromium","specs/guardian-basics-payments.spec.js","guardian basics","","","Verify locale handling in Singapore for payment page",""
"passed","Tue May 03 00:44:54 GMT 2022","Tue May 03 00:45:11 GMT 2022","16680","chromium","specs/guardian-basics-terms.spec.js","guardian basics, C1538755","","","Verify locale handling in Belgium for terms",""
"passed","Tue May 03 00:45:29 GMT 2022","Tue May 03 00:45:31 GMT 2022","1946","chromium","specs/guardian-redirects.spec.js","guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/linux",""
"passed","Tue May 03 00:48:27 GMT 2022","Tue May 03 00:49:00 GMT 2022","32995","firefox","specs/guardian-basics-privacy.spec.js","guardian basics","","","Verify locale handling in Austria for privacy notice",""
"passed","Tue May 03 00:51:17 GMT 2022","Tue May 03 00:51:25 GMT 2022","8382","firefox","specs/guardian-localization-urls.spec.js","guardian localization by urls, C1538754, C1601703 > Austria - https://www.mozilla.org/de/products/vpn/?geo=at","","","Verify locale handling in Austria",""
