"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 04 03:24:11 GMT 2022","Wed May 04 03:24:19 GMT 2022","7614","firefox","specs/guardian-basics-terms.spec.js","guardian basics - terms, C1539676 > terms locale check for UK","","","Verify locale handling in UK for terms",""
"passed","Wed May 04 03:21:19 GMT 2022","Wed May 04 03:21:22 GMT 2022","3255","firefox","specs/guardian-redirects.spec.js","guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/subscription, C1539672",""
"failed","Wed May 04 03:23:48 GMT 2022","Wed May 04 03:23:56 GMT 2022","7770","firefox","specs/guardian-basics-privacy.spec.js","guardian basics - privacy, C1539677 > Checking locales for different langs and geos","","","Verify locale handling in France for privacy notice",""
"passed","Wed May 04 03:20:20 GMT 2022","Wed May 04 03:20:27 GMT 2022","7129","firefox","specs/guardian-localization-urls.spec.js","guardian localization by urls, C1538754, C1601703 > Italy - https://www.mozilla.org/it/products/vpn/?geo=it","","","Verify locale handling in Italy",""
"passed","Wed May 04 03:21:16 GMT 2022","Wed May 04 03:21:19 GMT 2022","2702","firefox","specs/guardian-redirects.spec.js","guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/account, C1539671",""
"passed","Wed May 04 03:20:37 GMT 2022","Wed May 04 03:20:43 GMT 2022","6233","firefox","specs/guardian-basics-payments.spec.js","guardian basics - payments,  > guardian payments locale check for Malaysia","","","Verify locale handling in Malaysia for payment page",""
"failed","Wed May 04 03:20:13 GMT 2022","Wed May 04 03:20:32 GMT 2022","19648","firefox","specs/guardian-basics-privacy.spec.js","guardian basics - privacy, C1539677 > Checking locales for different langs and geos","","","Verify locale handling in Austria for privacy notice",""
"failed","Wed May 04 03:24:41 GMT 2022","Wed May 04 03:24:49 GMT 2022","7609","firefox","specs/guardian-basics-privacy.spec.js","guardian basics - privacy, C1539677 > Checking locales for different langs and geos","","","Verify locale handling in Italy for privacy notice",""
"passed","Wed May 04 03:19:26 GMT 2022","Wed May 04 03:19:39 GMT 2022","13155","firefox","specs/guardian-basics-payments.spec.js","guardian basics - payments,  > guardian payments locale check for Austria","","","Verify locale handling in Austria for payment page",""
"passed","Wed May 04 03:20:08 GMT 2022","Wed May 04 03:20:13 GMT 2022","4573","firefox","specs/guardian-localization-urls.spec.js","guardian localization by urls, C1538754, C1601703 > Spain - https://www.mozilla.org/es-US/products/vpn/?geo=es","","","Verify locale handling in Spain",""
"failed","Wed May 04 03:23:19 GMT 2022","Wed May 04 03:23:26 GMT 2022","7490","firefox","specs/guardian-basics-terms.spec.js","guardian basics - terms, C1539676 > terms locale check for Spain","","","Verify locale handling in Spain for terms",""
"failed","Wed May 04 03:21:52 GMT 2022","Wed May 04 03:22:03 GMT 2022","11032","firefox","specs/guardian-basics-terms.spec.js","guardian basics - terms, C1539676 > terms locale check for Canada","","","Verify locale handling in Canada for terms",""
"passed","Wed May 04 03:19:44 GMT 2022","Wed May 04 03:19:48 GMT 2022","4426","firefox","specs/guardian-localization-urls.spec.js","guardian localization by urls, C1538754, C1601703 > Austria - https://www.mozilla.org/de/products/vpn/?geo=at","","","Verify locale handling in Austria",""
"passed","Wed May 04 03:21:45 GMT 2022","Wed May 04 03:21:51 GMT 2022","6729","firefox","specs/guardian-redirects.spec.js","guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/linux",""
"passed","Wed May 04 03:20:08 GMT 2022","Wed May 04 03:20:15 GMT 2022","6759","firefox","specs/guardian-basics-payments.spec.js","guardian basics - payments,  > guardian payments locale check for Spain","","","Verify locale handling in Spain for payment page",""
