"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 02 18:00:00 GMT 2022","Mon May 02 18:00:02 GMT 2022","1519","chromium","specs/guardian-redirects.spec.js","guardian redirects > redirects to mozilla.org","","","Verify redirect for https://vpn.mozilla.org/r/vpn/invite",""
"passed","Mon May 02 17:59:47 GMT 2022","Mon May 02 17:59:49 GMT 2022","2405","chromium","specs/guardian-localization-urls.spec.js","guardian localization by urls, C1538754, C1601703 > Italy - https://www.mozilla.org/it/products/vpn/?geo=it","","","Verify locale handling in undefined",""
"passed","Mon May 02 18:00:22 GMT 2022","Mon May 02 18:00:24 GMT 2022","1543","chromium","specs/guardian-redirects.spec.js","guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/linux",""
"failed","Mon May 02 17:59:54 GMT 2022","Mon May 02 18:00:13 GMT 2022","18703","chromium","specs/guardian-basics-privacy.spec.js","guardian basics","","","Verify locale handling in Austria for privacy notice",""
"failed","Mon May 02 18:06:16 GMT 2022","Mon May 02 18:06:31 GMT 2022","15631","chromium","specs/guardian-basics-privacy.spec.js","guardian basics","","","Verify locale handling in UK for privacy notice",""
"failed","Mon May 02 18:08:44 GMT 2022","Mon May 02 18:09:00 GMT 2022","15472","chromium","specs/guardian-basics-terms.spec.js","guardian basics, C1538755","","","Verify locale handling in New Zealand for terms",""
"passed","Mon May 02 18:00:02 GMT 2022","Mon May 02 18:00:03 GMT 2022","1561","chromium","specs/guardian-redirects.spec.js","guardian redirects > redirects to mozilla.org","","","Verify redirect for https://vpn.mozilla.org/r/vpn/invite/success",""
"passed","Mon May 02 18:00:17 GMT 2022","Mon May 02 18:00:19 GMT 2022","1714","chromium","specs/guardian-redirects.spec.js","guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/terms",""
"failed","Mon May 02 18:01:52 GMT 2022","Mon May 02 18:02:08 GMT 2022","16085","chromium","specs/guardian-basics-privacy.spec.js","guardian basics","","","Verify locale handling in Canada for privacy notice",""
"passed","Mon May 02 17:59:08 GMT 2022","Mon May 02 17:59:10 GMT 2022","2209","chromium","specs/guardian-integration.spec.js","guardian integration > has sbuscription should redirect to downloads page","","","Should be able to login to VPN",""
"passed","Mon May 02 17:59:49 GMT 2022","Mon May 02 17:59:52 GMT 2022","2446","chromium","specs/guardian-localization-urls.spec.js","guardian localization by urls, C1538754, C1601703 > Malaysia - https://www.mozilla.org/en-US/products/vpn/?geo=my","","","Verify locale handling in undefined",""
"passed","Mon May 02 18:00:24 GMT 2022","Mon May 02 18:00:25 GMT 2022","1427","chromium","specs/guardian-redirects.spec.js","guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/macos",""
"passed","Mon May 02 17:59:32 GMT 2022","Mon May 02 17:59:35 GMT 2022","2563","chromium","specs/guardian-localization-urls.spec.js","guardian localization by urls, C1538754, C1601703 > Belgium - https://www.mozilla.org/nl/products/vpn/?geo=be","","","Verify locale handling in undefined",""
"passed","Mon May 02 17:59:43 GMT 2022","Mon May 02 17:59:45 GMT 2022","2068","chromium","specs/guardian-localization-urls.spec.js","guardian localization by urls, C1538754, C1601703 > France - https://www.mozilla.org/fr/products/vpn/?geo=fr","","","Verify locale handling in undefined",""
"passed","Mon May 02 18:00:10 GMT 2022","Mon May 02 18:00:13 GMT 2022","2857","chromium","specs/guardian-redirects.spec.js","guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/support",""
"failed","Mon May 02 17:59:54 GMT 2022","Mon May 02 18:00:12 GMT 2022","18269","chromium","specs/guardian-basics-terms.spec.js","guardian basics, C1538755","","","Verify locale handling in Austria for terms",""
"failed","Mon May 02 18:08:49 GMT 2022","Mon May 02 18:09:05 GMT 2022","15481","chromium","specs/guardian-basics-privacy.spec.js","guardian basics","","","Verify locale handling in New Zealand for privacy notice",""
"failed","Mon May 02 18:05:19 GMT 2022","Mon May 02 18:05:35 GMT 2022","15834","chromium","specs/guardian-basics-terms.spec.js","guardian basics, C1538755","","","Verify locale handling in France for terms",""
"failed","Mon May 02 18:07:59 GMT 2022","Mon May 02 18:08:14 GMT 2022","15472","chromium","specs/guardian-basics-privacy.spec.js","guardian basics","","","Verify locale handling in Malaysia for privacy notice",""
"failed","Mon May 02 18:02:48 GMT 2022","Mon May 02 18:03:03 GMT 2022","15915","chromium","specs/guardian-basics-privacy.spec.js","guardian basics","","","Verify locale handling in Switzerland for privacy notice",""
"failed","Mon May 02 18:07:53 GMT 2022","Mon May 02 18:08:09 GMT 2022","15903","chromium","specs/guardian-basics-terms.spec.js","guardian basics, C1538755","","","Verify locale handling in Malaysia for terms",""
"passed","Mon May 02 18:00:21 GMT 2022","Mon May 02 18:00:22 GMT 2022","1753","chromium","specs/guardian-redirects.spec.js","guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/download/linux",""
"passed","Mon May 02 18:02:10 GMT 2022","Mon May 02 18:02:28 GMT 2022","18122","chromium","specs/guardian-basics-payments.spec.js","guardian basics","","","Verify locale handling in Italy for payment page",""
"passed","Mon May 02 17:59:59 GMT 2022","Mon May 02 18:00:00 GMT 2022","1867","chromium","specs/guardian-redirects.spec.js","guardian redirects > redirects to mozilla.org","","","Verify redirect for https://vpn.mozilla.org",""
"passed","Mon May 02 18:00:38 GMT 2022","Mon May 02 18:00:56 GMT 2022","18959","chromium","specs/guardian-basics-payments.spec.js","guardian basics","","","Verify locale handling in Switzerland for payment page",""
"passed","Mon May 02 17:59:35 GMT 2022","Mon May 02 17:59:37 GMT 2022","1698","chromium","specs/guardian-localization-urls.spec.js","guardian localization by urls, C1538754, C1601703 > Canada - https://www.mozilla.org/en-US/products/vpn/?geo=ca","","","Verify locale handling in undefined",""
