"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 20 08:18:58 GMT 2023","Thu Apr 20 08:19:02 GMT 2023","4005","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","stage - guardian localization by urls, C1538754, C1601703 > New Zealand - https://www-dev.allizom.org/en-US/products/vpn/?geo=nz","","","Verify locale handling in New Zealand",""
"failed","Thu Apr 20 08:21:42 GMT 2023","Thu Apr 20 08:21:55 GMT 2023","12377","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/support, C1539673",""
"skipped","Thu Apr 20 08:18:37 GMT 2023","Thu Apr 20 08:18:37 GMT 2023","1","firefox","specs/guardian-integration.spec.js","prod - guardian integration","","","has a valid subscription",""
"passed","Thu Apr 20 08:22:32 GMT 2023","Thu Apr 20 08:22:36 GMT 2023","3710","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/android, C1539669",""
"passed","Thu Apr 20 08:18:19 GMT 2023","Thu Apr 20 08:18:26 GMT 2023","7193","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","guardian basics prod - terms, C1538755 > terms locale check for Malaysia","","","Verify locale handling in Malaysia for terms",""
"passed","Thu Apr 20 08:17:29 GMT 2023","Thu Apr 20 08:17:37 GMT 2023","7120","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","prod - guardian basics - privacy, C1538755 > Checking locales for different langs and geos","","","Verify locale handling in Spain for privacy notice",""
"passed","Thu Apr 20 08:18:31 GMT 2023","Thu Apr 20 08:18:37 GMT 2023","6114","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","prod - guardian integration > has subscription","","","Should redirect to downloads page",""
"passed","Thu Apr 20 08:19:35 GMT 2023","Thu Apr 20 08:19:39 GMT 2023","4088","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","stage - guardian localization by urls, C1538754, C1601703 > Germany - https://www-dev.allizom.org/de/products/vpn/?geo=de","","","Verify locale handling in Germany",""
"failed","Thu Apr 20 08:19:13 GMT 2023","Thu Apr 20 08:19:24 GMT 2023","11614","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","stage - guardian localization by urls, C1538754, C1601703 > Canada - https://www-dev.allizom.org/en-US/products/vpn/?geo=ca","","","Verify locale handling in Canada",""
"passed","Thu Apr 20 08:22:25 GMT 2023","Thu Apr 20 08:22:28 GMT 2023","2713","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/windows, C1539669",""
"passed","Thu Apr 20 08:18:44 GMT 2023","Thu Apr 20 08:18:52 GMT 2023","7252","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","guardian basics prod - terms, C1538755 > terms locale check for UK","","","Verify locale handling in UK for terms",""
"passed","Thu Apr 20 08:17:30 GMT 2023","Thu Apr 20 08:17:40 GMT 2023","9015","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","stage - guardian basics - privacy, C1538755 > Checking locales for different langs and geos","","","Verify locale handling in Switzerland for privacy notice",""
"passed","Thu Apr 20 08:17:42 GMT 2023","Thu Apr 20 08:17:50 GMT 2023","7856","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","stage - guardian basics - privacy, C1538755 > Checking locales for different langs and geos","","","Verify locale handling in United States for privacy notice",""
"passed","Thu Apr 20 08:18:43 GMT 2023","Thu Apr 20 08:18:47 GMT 2023","4641","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","stage - guardian localization by urls, C1538754, C1601703 > UK - https://www-dev.allizom.org/en-US/products/vpn/?geo=gb","","","Verify locale handling in UK",""
"passed","Thu Apr 20 08:20:06 GMT 2023","Thu Apr 20 08:20:10 GMT 2023","3597","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage-vpn.guardian.nonprod.cloudops.mozgcp.net/r/vpn/account, C1539671",""
"passed","Thu Apr 20 08:18:10 GMT 2023","Thu Apr 20 08:18:18 GMT 2023","8007","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","guardian basics stage - terms, C1538755 > terms locale check for Spain","","","Verify locale handling in Spain for terms",""
"passed","Thu Apr 20 08:17:51 GMT 2023","Thu Apr 20 08:17:58 GMT 2023","7237","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","guardian basics stage - terms, C1538755 > terms locale check for UK","","","Verify locale handling in UK for terms",""
"failed","Thu Apr 20 08:20:14 GMT 2023","Thu Apr 20 08:20:25 GMT 2023","10577","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","prod - guardian localization by urls, C1538754, C1601703 > Austria - https://www.mozilla.org/de/products/vpn/?geo=at","","","Verify locale handling in Austria",""
"passed","Thu Apr 20 08:19:26 GMT 2023","Thu Apr 20 08:19:35 GMT 2023","9544","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","stage - guardian localization by urls, C1538754, C1601703 > Switzerland - https://www-dev.allizom.org/de/products/vpn/?geo=ch","","","Verify locale handling in Switzerland",""
"failed","Thu Apr 20 08:20:32 GMT 2023","Thu Apr 20 08:20:42 GMT 2023","10374","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","prod - guardian localization by urls, C1538754, C1601703 > Switzerland - https://www.mozilla.org/de/products/vpn/?geo=ch","","","Verify locale handling in Switzerland",""
"passed","Thu Apr 20 08:17:09 GMT 2023","Thu Apr 20 08:17:15 GMT 2023","5768","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","prod - guardian basics - privacy, C1538755 > Checking locales for different langs and geos","","","Verify locale handling in Malaysia for privacy notice",""
"passed","Thu Apr 20 08:21:43 GMT 2023","Thu Apr 20 08:21:48 GMT 2023","5234","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","stage - guardian redirects > download redirects","","","Verify redirect for https://stage-vpn.guardian.nonprod.cloudops.mozgcp.net/r/vpn/update/android, C1539669",""
"passed","Thu Apr 20 08:17:10 GMT 2023","Thu Apr 20 08:17:16 GMT 2023","6116","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","prod - guardian basics - privacy, C1538755 > Checking locales for different langs and geos","","","Verify locale handling in Canada for privacy notice",""
"failed","Thu Apr 20 08:19:57 GMT 2023","Thu Apr 20 08:20:09 GMT 2023","12605","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","prod - guardian localization by urls, C1538754, C1601703 > Malaysia - https://www.mozilla.org/en-US/products/vpn/?geo=my","","","Verify locale handling in Malaysia",""
"passed","Thu Apr 20 08:19:53 GMT 2023","Thu Apr 20 08:19:57 GMT 2023","4324","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","stage - guardian redirects > redirects for https://stage-vpn.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage-vpn.guardian.nonprod.cloudops.mozgcp.net/r/vpn/invite/success, C1539667",""
"passed","Thu Apr 20 08:21:00 GMT 2023","Thu Apr 20 08:21:02 GMT 2023","2499","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","prod - guardian redirects > redirects for https://vpn.mozilla.org origin","","","Verify redirect for https://vpn.mozilla.org/r/vpn/invite/success, C1539667",""
"passed","Thu Apr 20 08:21:06 GMT 2023","Thu Apr 20 08:21:12 GMT 2023","5706","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/client/feedback, C1539670",""
"passed","Thu Apr 20 08:18:05 GMT 2023","Thu Apr 20 08:18:12 GMT 2023","7281","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","guardian basics stage - terms, C1538755 > terms locale check for Malaysia","","","Verify locale handling in Malaysia for terms",""
"passed","Thu Apr 20 08:18:41 GMT 2023","Thu Apr 20 08:18:48 GMT 2023","6911","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","guardian basics prod - terms, C1538755 > terms locale check for United States","","","Verify locale handling in United States for terms",""
"passed","Thu Apr 20 08:17:15 GMT 2023","Thu Apr 20 08:17:21 GMT 2023","5323","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","prod - guardian basics - privacy, C1538755 > Checking locales for different langs and geos","","","Verify locale handling in New Zealand for privacy notice",""
"passed","Thu Apr 20 08:17:35 GMT 2023","Thu Apr 20 08:17:42 GMT 2023","7172","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","stage - guardian basics - privacy, C1538755 > Checking locales for different langs and geos","","","Verify locale handling in Singapore for privacy notice",""
"passed","Thu Apr 20 08:18:00 GMT 2023","Thu Apr 20 08:18:11 GMT 2023","11131","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","stage - guardian basics - privacy, C1538755 > Checking locales for different langs and geos","","","Verify locale handling in France for privacy notice",""
"failed","Thu Apr 20 08:21:57 GMT 2023","Thu Apr 20 08:22:05 GMT 2023","7721","firefox","prod - Version: v1.28, Commit: 9a1ce1978f425170dbf1003f6885b0d9cf074286","prod - guardian localization by urls, C1538754, C1601703 > United States - https://www.mozilla.org/en-US/products/vpn/?geo=US","","","Verify locale handling in United States",""
"passed","Thu Apr 20 08:19:39 GMT 2023","Thu Apr 20 08:19:44 GMT 2023","4231","firefox","stage - Version: v1.29.b5, Commit: db3f4a3282aad20449f6a13d8379db19c87db19e","stage - guardian localization by urls, C1538754, C1601703 > Spain - https://www-dev.allizom.org/es-US/products/vpn/?geo=es","","","Verify locale handling in Spain",""
