"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 03 10:23:48 GMT 2022","Fri Jun 03 10:23:56 GMT 2022","7509","firefox","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","guardian basics stage - terms, C1538755 > terms locale check for Canada","","","Verify locale handling in Canada for terms",""
"passed","Fri Jun 03 10:22:45 GMT 2022","Fri Jun 03 10:22:47 GMT 2022","2158","chromium","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian redirects > download redirects","","","Verify redirect for https://stage-vpn.guardian.nonprod.cloudops.mozgcp.net/r/vpn/update/linux, C1539669",""
"passed","Fri Jun 03 10:24:02 GMT 2022","Fri Jun 03 10:24:09 GMT 2022","7470","firefox","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","guardian basics stage - terms, C1538755 > terms locale check for New Zealand","","","Verify locale handling in New Zealand for terms",""
"passed","Fri Jun 03 10:21:45 GMT 2022","Fri Jun 03 10:21:49 GMT 2022","3631","chromium","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian basics - privacy, C1538755 > Checking locales for different langs and geos","","","Verify locale handling in Malaysia for privacy notice",""
"passed","Fri Jun 03 10:21:52 GMT 2022","Fri Jun 03 10:21:55 GMT 2022","3143","chromium","prod - Version: v1.24, Commit: bfe11a2f052940dc7faf9ef2b77b95619f1dfae4","prod - guardian basics - privacy, C1538755 > Checking locales for different langs and geos","","","Verify locale handling in United States for privacy notice",""
"passed","Fri Jun 03 10:24:35 GMT 2022","Fri Jun 03 10:24:41 GMT 2022","5411","firefox","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian localization by urls, C1538754, C1601703 > UK - https://www-dev.allizom.org/en-US/products/vpn/?geo=gb","","","Verify locale handling in UK",""
"passed","Fri Jun 03 10:22:33 GMT 2022","Fri Jun 03 10:22:35 GMT 2022","2046","chromium","prod - Version: v1.24, Commit: bfe11a2f052940dc7faf9ef2b77b95619f1dfae4","prod - guardian localization by urls, C1538754, C1601703 > Germany - https://www.mozilla.org/de/products/vpn/?geo=de","","","Verify locale handling in Germany",""
"passed","Fri Jun 03 10:22:30 GMT 2022","Fri Jun 03 10:22:32 GMT 2022","1949","chromium","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian localization by urls, C1538754, C1601703 > Germany - https://www-dev.allizom.org/de/products/vpn/?geo=de","","","Verify locale handling in Germany",""
"passed","Fri Jun 03 10:24:30 GMT 2022","Fri Jun 03 10:24:36 GMT 2022","5299","firefox","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian localization by urls, C1538754, C1601703 > Austria - https://www-dev.allizom.org/de/products/vpn/?geo=at","","","Verify locale handling in Austria",""
"passed","Fri Jun 03 10:24:41 GMT 2022","Fri Jun 03 10:24:45 GMT 2022","4381","firefox","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian localization by urls, C1538754, C1601703 > Italy - https://www-dev.allizom.org/it/products/vpn/?geo=it","","","Verify locale handling in Italy",""
"passed","Fri Jun 03 10:22:52 GMT 2022","Fri Jun 03 10:22:54 GMT 2022","1744","chromium","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage-vpn.guardian.nonprod.cloudops.mozgcp.net/r/vpn/subscriptionBlocked, C1539674",""
"passed","Fri Jun 03 10:23:20 GMT 2022","Fri Jun 03 10:23:27 GMT 2022","6639","firefox","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian basics - privacy, C1538755 > Checking locales for different langs and geos","","","Verify locale handling in Singapore for privacy notice",""
"passed","Fri Jun 03 10:22:54 GMT 2022","Fri Jun 03 10:22:59 GMT 2022","5035","chromium","prod - Version: v1.24, Commit: bfe11a2f052940dc7faf9ef2b77b95619f1dfae4","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/ios, C1539669",""
"passed","Fri Jun 03 10:21:45 GMT 2022","Fri Jun 03 10:21:49 GMT 2022","3426","chromium","prod - Version: v1.24, Commit: bfe11a2f052940dc7faf9ef2b77b95619f1dfae4","prod - guardian basics - privacy, C1538755 > Checking locales for different langs and geos","","","Verify locale handling in New Zealand for privacy notice",""
"passed","Fri Jun 03 10:22:31 GMT 2022","Fri Jun 03 10:22:33 GMT 2022","2085","chromium","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian localization by urls, C1538754, C1601703 > Singapore - https://www-dev.allizom.org/en-US/products/vpn/?geo=sg","","","Verify locale handling in Singapore",""
"passed","Fri Jun 03 10:22:35 GMT 2022","Fri Jun 03 10:22:37 GMT 2022","2052","chromium","prod - Version: v1.24, Commit: bfe11a2f052940dc7faf9ef2b77b95619f1dfae4","prod - guardian localization by urls, C1538754, C1601703 > Spain - https://www.mozilla.org/es-US/products/vpn/?geo=es","","","Verify locale handling in Spain",""
"passed","Fri Jun 03 10:22:25 GMT 2022","Fri Jun 03 10:22:27 GMT 2022","1941","chromium","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian localization by urls, C1538754, C1601703 > Italy - https://www-dev.allizom.org/it/products/vpn/?geo=it","","","Verify locale handling in Italy",""
"passed","Fri Jun 03 10:22:41 GMT 2022","Fri Jun 03 10:22:43 GMT 2022","2368","chromium","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian redirects > redirects for https://stage-vpn.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage-vpn.guardian.nonprod.cloudops.mozgcp.net/r/vpn/subscribe, C1539668",""
"passed","Fri Jun 03 10:25:32 GMT 2022","Fri Jun 03 10:25:36 GMT 2022","4744","firefox","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage-vpn.guardian.nonprod.cloudops.mozgcp.net/r/vpn/subscriptionBlocked, C1539674",""
"passed","Fri Jun 03 10:22:29 GMT 2022","Fri Jun 03 10:22:31 GMT 2022","2057","chromium","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian localization by urls, C1538754, C1601703 > New Zealand - https://www-dev.allizom.org/en-US/products/vpn/?geo=nz","","","Verify locale handling in New Zealand",""
"passed","Fri Jun 03 10:22:39 GMT 2022","Fri Jun 03 10:22:39 GMT 2022","248","chromium","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian redirects > redirects for https://stage-vpn.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage-vpn.guardian.nonprod.cloudops.mozgcp.net/r/vpn/invite, C1539666",""
"passed","Fri Jun 03 10:25:19 GMT 2022","Fri Jun 03 10:25:20 GMT 2022","1085","firefox","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage-vpn.guardian.nonprod.cloudops.mozgcp.net/r/vpn/client/feedback, C1539670",""
"skipped","Fri Jun 03 10:22:22 GMT 2022","Fri Jun 03 10:22:22 GMT 2022","0","chromium","specs/guardian-integration.spec.js","stage - guardian integration","","","has a valid subscription",""
"passed","Fri Jun 03 10:25:18 GMT 2022","Fri Jun 03 10:25:22 GMT 2022","3772","firefox","prod - Version: v1.24, Commit: bfe11a2f052940dc7faf9ef2b77b95619f1dfae4","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/terms, C1539676",""
"passed","Fri Jun 03 10:22:42 GMT 2022","Fri Jun 03 10:22:44 GMT 2022","1854","chromium","prod - Version: v1.24, Commit: bfe11a2f052940dc7faf9ef2b77b95619f1dfae4","prod - guardian redirects > redirects for https://vpn.mozilla.org origin","","","Verify redirect for https://vpn.mozilla.org/r/vpn/invite, C1539666",""
"passed","Fri Jun 03 10:22:16 GMT 2022","Fri Jun 03 10:22:19 GMT 2022","3505","chromium","prod - Version: v1.24, Commit: bfe11a2f052940dc7faf9ef2b77b95619f1dfae4","guardian basics prod - terms, C1538755 > terms locale check for Germany","","","Verify locale handling in Germany for terms",""
"passed","Fri Jun 03 10:22:52 GMT 2022","Fri Jun 03 10:22:53 GMT 2022","1388","chromium","prod - Version: v1.24, Commit: bfe11a2f052940dc7faf9ef2b77b95619f1dfae4","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/macos, C1539669",""
"passed","Fri Jun 03 10:24:11 GMT 2022","Fri Jun 03 10:24:19 GMT 2022","7630","firefox","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","guardian basics stage - terms, C1538755 > terms locale check for Spain","","","Verify locale handling in Spain for terms",""
"passed","Fri Jun 03 10:23:18 GMT 2022","Fri Jun 03 10:23:24 GMT 2022","6220","firefox","prod - Version: v1.24, Commit: bfe11a2f052940dc7faf9ef2b77b95619f1dfae4","prod - guardian basics - privacy, C1538755 > Checking locales for different langs and geos","","","Verify locale handling in Switzerland for privacy notice",""
"passed","Fri Jun 03 10:21:49 GMT 2022","Fri Jun 03 10:21:53 GMT 2022","3963","chromium","prod - Version: v1.24, Commit: bfe11a2f052940dc7faf9ef2b77b95619f1dfae4","prod - guardian basics - privacy, C1538755 > Checking locales for different langs and geos","","","Verify locale handling in Germany for privacy notice",""
"passed","Fri Jun 03 10:24:56 GMT 2022","Fri Jun 03 10:25:01 GMT 2022","5471","firefox","stage - Version: v1.25.b1, Commit: ae38fee6a7222f60adb6b9eac5dc9e063eea9eae","stage - guardian localization by urls, C1538754, C1601703 > Singapore - https://www-dev.allizom.org/en-US/products/vpn/?geo=sg","","","Verify locale handling in Singapore",""
